GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "26000","Michigan",3,CAGDP2,1,"...","All industry total","Thousands of dollars",348528981,362271106,373839276,381228923,394228983,395451014,403735768,386053888,365591717,386625900,401105395,418857402,432717563,449127695,474301393,491774196,505561200,527095802
 "26000","Michigan",3,CAGDP2,2,"..."," Private industries","Thousands of dollars",309407103,321530308,332010386,338469775,349323172,349828810,357311446,338077879,316993147,336754016,352404730,370283417,383572245,399629053,422496779,439464970,451838661,471653641
 "26000","Michigan",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",1614857,1679300,1799307,2473864,2224632,2535665,2672098,2775867,2233535,2835410,4177608,3286127,3940331,3474767,3222927,2772089,3008355,3016950
 "26000","Michigan",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",649223,595103,618478,758772,892561,1186937,1156639,1359281,1286357,1680637,2178440,2066423,1973313,2026095,1814940,1886067,2024998,2073900
 "26000","Michigan",3,CAGDP2,10,"22","  Utilities","Thousands of dollars",5736094,5448076,5762713,6040412,6089307,6964256,7320938,7698968,7977468,8707855,8890871,9103330,9056923,9202648,9104771,9762245,10016830,10629751
 "26000","Michigan",3,CAGDP2,11,"23","  Construction","Thousands of dollars",16037532,15666384,15946635,17140539,17747292,16810335,15845928,13510977,11682496,11412926,11589257,13384316,14569798,16066808,17515023,18986401,20449607,21449053
 "26000","Michigan",3,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",80233190,84070949,85478495,80527206,80487305,77182037,80230721,67627351,54392111,67061846,72323550,77984615,84164428,86085168,91126588,93370842,95205196,99232668
 "26000","Michigan",3,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",65403675,67516939,68997818,63921283,65222749,59774256,64093826,52436318,38379255,50698051,55536047,60944931,65779486,67470439,70886014,72753268,74028556,76641378
 "26000","Michigan",3,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",14829514,16554010,16480677,16605923,15264556,17407781,16136896,15191033,16012855,16363796,16787503,17039683,18384942,18614729,20240573,20617574,21176640,22591290
 "26000","Michigan",3,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",20010834,19898839,20755800,21791678,23413410,24159005,24728582,25499574,23343026,25319395,26579406,28300086,29361855,30927086,31915208,32657190,33372293,34752076
 "26000","Michigan",3,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",23995861,24199542,24962758,24725877,25307616,24943753,24698055,24501912,24889485,25054417,25542589,25753738,26149512,26984552,28518709,29767742,30426355,32046229
 "26000","Michigan",3,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",8191446,8166800,8592775,9372618,9580867,9625189,9692589,9512432,8605228,9236960,9555500,10104300,10642917,10952605,11925835,12419120,13052732,13640187
 "26000","Michigan",3,CAGDP2,45,"51","  Information","Thousands of dollars",8858073,9528915,9825132,10867979,10939937,10693405,10812451,10857927,10767860,10954938,10838868,10410527,11526175,11846177,12545298,13068131,12836526,13119320
 "26000","Michigan",3,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",59409818,63888820,66072433,66843669,70027109,70856815,73062744,64467306,65213621,64923219,66279752,69829847,69265218,75454626,82010491,85786616,86524697,90602969
 "26000","Michigan",3,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",17368697,20295553,22022493,22579501,25406245,26657708,27116193,19134238,19905281,19527423,19601292,21694252,18922567,23145363,26630600,27692652,26111197,27306805
 "26000","Michigan",3,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",42041122,43593268,44049940,44264169,44620864,44199107,45946551,45333068,45308340,45395796,46678460,48135595,50342651,52309263,55379891,58093965,60413500,63296164
 "26000","Michigan",3,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",42069019,43500461,45228309,47524591,49475595,49470123,49930344,51047254,46132871,48439662,52108169,54899098,56651206,58730402,61595255,64112350,67979872,70459617
 "26000","Michigan",3,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",23678648,25341811,26005864,26668489,27580424,27850292,28445418,29783055,26937030,28073100,30196094,32142791,33590160,34765067,36892685,38612497,39808922,41366531
 "26000","Michigan",3,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",7890085,7403805,7804915,8747617,8487407,8161102,8032051,7874506,6967339,7160845,7922842,8245787,8297132,8816133,9145233,9735630,11735538,11749968
 "26000","Michigan",3,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",10500285,10754845,11417530,12108484,13407764,13458729,13452875,13389693,12228503,13205717,13989234,14510519,14763914,15149202,15557336,15764223,16435413,17343119
 "26000","Michigan",3,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",24496368,26118620,27676366,29609299,31294542,33205031,34442510,36848179,38653778,39003789,39917149,41022827,41517882,42211117,44215405,46568867,47540337,49485306
 "26000","Michigan",3,CAGDP2,69,"61","   Educational services","Thousands of dollars",1990131,2050911,2359204,2666443,2790939,2938958,3146618,3332537,3638165,3798196,3787939,3966642,3988096,4123744,4191339,4311211,4177702,4338268
 "26000","Michigan",3,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",22506237,24067709,25317162,26942856,28503603,30266073,31295892,33515642,35015613,35205592,36129209,37056185,37529786,38087373,40024066,42257656,43362636,45147037
 "26000","Michigan",3,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",9925729,10349021,10807252,11748834,12362332,12540730,13110691,12917575,12511141,12687126,13011954,14342059,14897893,15330986,16214730,17188559,18046846,19087068
 "26000","Michigan",3,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",2651875,2847165,3025263,3301751,3556755,3687717,3540148,3435438,3289409,3289043,2951266,3090925,3152490,3255632,3285944,3514702,3692039,3788488
 "26000","Michigan",3,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",7273854,7501857,7781989,8447083,8805577,8853014,9570543,9482138,9221732,9398083,10060689,11251134,11745403,12075354,12928786,13673857,14354807,15298580
 "26000","Michigan",3,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",8179060,8419479,8483936,9044437,9480669,9655527,9607158,9453276,9304171,9435836,9411615,9796125,9854795,10336017,10771599,11118751,11354017,12058545
 "26000","Michigan",3,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",39121879,40740799,41828889,42759148,44905811,45622204,46424322,47976009,48598569,49871884,48700665,48573984,49145318,49498642,51804615,52309226,53722539,55442161
 "26000","Michigan",3,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",2264081,2274403,2417785,3232636,3117192,3722603,3828736,4135148,3519892,4516047,6356048,5352550,5913644,5500861,5037867,4658156,5033353,5090851
 "26000","Michigan",3,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",44006695,44098381,45718558,46517555,48721027,49102758,49426637,50001486,48232511,50373812,52121995,54053823,55511367,57911638,60433917,62424932,63798649,66798305
 "26000","Michigan",3,CAGDP2,89,"...","Transportation and utilities","Thousands of dollars",13927540,13614876,14355487,15413030,15670173,16589446,17013527,17211400,16582696,17944815,18446371,19207630,19699840,20155253,21030606,22181365,23069562,24269938
 "26000","Michigan",3,CAGDP2,90,"...","Manufacturing and information","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "26000","Michigan",3,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",98534802,102011735,103842914,100900381,101351789,97714975,99905386,85273476,69594499,82990820,90268855,96721481,104647870,107652837,113679478,117015399,120688155,125772572
 "26000","Michigan",3,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",210872301,219518572,228167472,237569395,247971384,252113835,257406061,252804403,247398648,253763196,262135875,273561936,278924375,291976216,308817301,322449571,331150506,345881069
 "26001","Alcona, MI",3,CAGDP2,1,"...","All industry total","Thousands of dollars",156606,165469,175588,179318,186438,199925,203936,192606,192418,192074,200384,198950,207571,212121,219706,230703,249482,260024
 "26001","Alcona, MI",3,CAGDP2,2,"..."," Private industries","Thousands of dollars",138067,146212,155273,157976,163769,175834,179438,167731,168288,168040,178051,177705,186323,190568,197991,209029,226955,236298
 "26001","Alcona, MI",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",(D),(D),(D),(D),(D),3113,5036,2680,4564,(D),4730,1768,3337,5233,9623,11729,(D),(D)
 "26001","Alcona, MI",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",769,756,1121,1162,1872,3858,2998,3663,2324,2489,3315,3090,3581,3888,1519,1215,1809,1733
 "26001","Alcona, MI",3,CAGDP2,10,"22","  Utilities","Thousands of dollars",7837,7599,8209,8419,8141,9638,9022,9874,(D),(D),12197,12419,12861,12877,11983,13790,15691,15924
 "26001","Alcona, MI",3,CAGDP2,11,"23","  Construction","Thousands of dollars",(D),(D),(D),(D),(D),9477,8521,5679,4903,5342,5895,8871,8282,7653,6526,6271,(D),(D)
 "26001","Alcona, MI",3,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",11039,10889,11188,12196,12472,11899,12546,11268,9770,13124,14905,15263,18327,17279,18026,16922,17747,17917
 "26001","Alcona, MI",3,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",10053,10596,10815,(D),(D),(D),(D),(D),(D),(D),(D),(D),17703,16820,17509,16439,17171,17406
 "26001","Alcona, MI",3,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",986,293,373,(D),(D),(D),(D),(D),(D),(D),(D),(D),624,459,516,483,576,511
 "26001","Alcona, MI",3,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",1492,1602,1225,610,910,1194,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "26001","Alcona, MI",3,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",11400,(D),(D),11915,11538,11236,10889,11303,11434,11608,11468,11099,11531,12243,11737,12375,13064,13796
 "26001","Alcona, MI",3,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),684,660,1189,1146,1247,1062,1006,716,665,889,903
 "26001","Alcona, MI",3,CAGDP2,45,"51","  Information","Thousands of dollars",(D),(D),1032,(D),(D),(D),(D),(D),1121,1254,(D),(D),(D),(D),(D),(D),(D),(D)
 "26001","Alcona, MI",3,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",52597,55843,59917,63746,63307,79455,84286,77253,(D),73734,73561,72621,73574,76752,80216,84723,89572,95106
 "26001","Alcona, MI",3,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",2559,3073,3177,3020,3849,3890,4741,3422,(D),2746,2818,3218,2567,3246,3016,3103,3070,3198
 "26001","Alcona, MI",3,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",50037,52770,56739,60726,59458,75565,79545,73832,(D),70988,70743,69403,71007,73506,77200,81621,86502,91908
 "26001","Alcona, MI",3,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",17379,17151,17719,18463,18237,16820,(D),(D),13929,14195,17238,18632,19787,19305,19239,19948,22674,23211
 "26001","Alcona, MI",3,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",3003,3194,2953,(D),2663,2501,(D),(D),928,1312,2045,2749,3476,2975,(D),(D),(D),(D)
 "26001","Alcona, MI",3,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",12635,12058,12869,13798,13496,12238,11852,12767,11786,11641,13321,13415,13412,13814,(D),(D),(D),(D)
 "26001","Alcona, MI",3,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",1742,1900,1897,(D),2078,2082,1994,1669,1214,1242,1872,2468,2898,2516,2247,2228,2522,2434
 "26001","Alcona, MI",3,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",7978,9124,9839,11437,11475,12448,13541,15224,17269,17766,19265,18066,18552,19117,22328,25314,28630,29892
 "26001","Alcona, MI",3,CAGDP2,69,"61","   Educational services","Thousands of dollars",57,58,65,51,103,128,231,157,132,116,130,122,131,147,154,147,117,121
 "26001","Alcona, MI",3,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",7921,9066,9774,11386,11372,12320,13310,15067,17137,17650,19135,17944,18421,18970,22174,25167,28513,29771
 "26001","Alcona, MI",3,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",5557,5686,5942,5423,6196,5521,6676,5577,5947,6203,5603,5995,6921,6839,7552,7596,8284,7993
 "26001","Alcona, MI",3,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",3198,3425,3775,3122,3960,3865,4965,4132,4559,4872,3838,3546,3832,3853,4359,4245,4328,(D)
 "26001","Alcona, MI",3,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",2359,2261,2166,2301,2235,1656,1711,1446,1388,1331,1765,2448,3089,2986,3192,3350,3957,(D)
 "26001","Alcona, MI",3,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",(D),(D),(D),(D),(D),(D),7273,6766,6652,6617,6456,6179,6020,6093,6262,6294,6659,7089
 "26001","Alcona, MI",3,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",18539,19258,20315,21342,22669,24091,24498,24876,24130,24034,22333,21246,21248,21553,21715,21673,22527,23726
 "26001","Alcona, MI",3,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",(D),(D),(D),(D),(D),6971,8035,6343,6887,(D),8045,4858,6919,9121,11142,12945,(D),(D)
 "26001","Alcona, MI",3,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",12892,(D),(D),12525,12448,12430,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "26001","Alcona, MI",3,CAGDP2,89,"...","Transportation and utilities","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),10558,(D),(D),13343,13666,13923,13883,12699,14455,16580,16827
 "26001","Alcona, MI",3,CAGDP2,90,"...","Manufacturing and information","Thousands of dollars",(D),(D),12220,(D),(D),(D),(D),(D),10891,14377,(D),(D),(D),(D),(D),(D),(D),(D)
 "26001","Alcona, MI",3,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",25380,28572,31341,28642,33486,28347,29102,23290,21561,(D),28845,28992,33527,34053,35693,36137,39456,40253
 "26001","Alcona, MI",3,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",112687,117640,123932,129334,130283,147487,150336,144441,146727,(D),149206,148713,152796,156515,162297,172892,187499,196045
 "26003","Alger, MI",3,CAGDP2,1,"...","All industry total","Thousands of dollars",227842,234731,240827,240710,237428,243528,234224,212453,210099,211226,212391,226489,249054,259344,272140,271668,276743,293380
 "26003","Alger, MI",3,CAGDP2,2,"..."," Private industries","Thousands of dollars",174738,183583,191631,192124,186942,191983,183171,161294,160035,160482,163417,178639,202768,212285,222891,221191,225175,239885
 "26003","Alger, MI",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",3264,2721,2657,3372,4228,3760,3116,3208,(D),3301,3727,2313,4379,5292,11927,4742,2621,3109
 "26003","Alger, MI",3,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "26003","Alger, MI",3,CAGDP2,10,"22","  Utilities","Thousands of dollars",(D),(D),(D),1984,1948,2387,(D),(D),(D),(D),(D),(D),2262,(D),2582,(D),(D),(D)
 "26003","Alger, MI",3,CAGDP2,11,"23","  Construction","Thousands of dollars",8024,8064,7270,8172,7476,7396,6525,5881,5182,6198,5363,8320,6705,7138,6856,7364,5959,8521
 "26003","Alger, MI",3,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",49447,56588,55185,60833,56413,55551,49248,35223,(D),32390,31215,44891,66535,70733,70091,69964,70260,73839
 "26003","Alger, MI",3,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9952,8888,9183,10526,12022,12594
 "26003","Alger, MI",3,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),56583,61845,60907,59439,58238,61245
 "26003","Alger, MI",3,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",(D),(D),(D),3318,4380,4284,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "26003","Alger, MI",3,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",9817,9719,9913,9435,9676,9781,9405,9659,10461,10684,10473,10594,11157,10989,11124,11377,11318,12344
 "26003","Alger, MI",3,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",5767,5777,4805,(D),(D),(D),2099,2429,2735,2997,2957,2907,(D),2860,(D),3343,3340,3271
 "26003","Alger, MI",3,CAGDP2,45,"51","  Information","Thousands of dollars",5425,6152,5108,7122,6111,5583,3995,4536,5399,6319,7378,8027,7877,6329,7082,6831,6760,6966
 "26003","Alger, MI",3,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",50111,52463,62969,47148,46628,57427,60096,50511,51115,49276,49197,48547,48325,51967,55489,58728,60829,64217
 "26003","Alger, MI",3,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",11284,13365,13732,14500,14456,15053,15467,8321,(D),(D),(D),(D),6868,(D),(D),10934,10294,10715
 "26003","Alger, MI",3,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",38828,39097,49237,32648,32172,42374,44629,42190,(D),(D),(D),(D),41457,(D),(D),47794,50535,53501
 "26003","Alger, MI",3,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",18865,15713,16536,(D),(D),(D),16517,17562,16314,16035,19346,19749,21167,21901,21475,22506,25735,26066
 "26003","Alger, MI",3,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",3979,(D),(D),3594,3977,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "26003","Alger, MI",3,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "26003","Alger, MI",3,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",(D),946,1015,(D),(D),1228,1271,1333,1785,1609,1571,2072,(D),2738,2635,2747,3162,3637
 "26003","Alger, MI",3,CAGDP2,68,"61, 62","  Educational services, health care, and social assistance","Thousands of dollars",9143,9879,11069,11865,10938,11642,11767,12105,11897,11729,11777,11751,12351,12625,12617,11090,11356,12952
 "26003","Alger, MI",3,CAGDP2,69,"61","   Educational services","Thousands of dollars",666,686,766,759,426,250,186,208,189,189,208,266,249,254,274,268,246,258
 "26003","Alger, MI",3,CAGDP2,70,"62","   Health care and social assistance","Thousands of dollars",8477,9193,10303,11106,10512,11392,11581,11896,11708,11540,11569,11485,12102,12371,12343,10822,11110,12694
 "26003","Alger, MI",3,CAGDP2,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of dollars",7967,9061,9400,10131,10170,9748,10217,9741,9747,10825,10913,11229,11348,11602,12213,13869,15271,15904
 "26003","Alger, MI",3,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",1026,1073,1136,1339,785,737,714,756,814,887,855,890,1022,(D),1059,1106,1211,1264
 "26003","Alger, MI",3,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",6941,7988,8264,8792,9385,9011,9503,8985,8933,9938,10058,10339,10326,(D),11154,12763,14060,14639
 "26003","Alger, MI",3,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",3642,4051,3692,4222,5029,5255,5206,5027,5043,4977,4975,4840,4966,5308,5531,5726,5994,6574
 "26003","Alger, MI",3,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",53104,51149,49196,48585,50486,51545,51053,51160,50064,50745,48975,47850,46286,47060,49249,50478,51567,53495
 "26003","Alger, MI",3,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",3264,2721,2657,3372,4228,3760,3116,3208,(D),3301,3727,2313,4379,5292,11927,4742,2621,3109
 "26003","Alger, MI",3,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",(D),(D),(D),12753,14056,14065,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "26003","Alger, MI",3,CAGDP2,89,"...","Transportation and utilities","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "26003","Alger, MI",3,CAGDP2,90,"...","Manufacturing and information","Thousands of dollars",54872,62740,60292,67955,62524,61133,53243,39759,(D),38709,38593,52917,74412,77062,77173,76796,77020,80805
 "26003","Alger, MI",3,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",60735,67373,65111,72377,68117,66706,58889,44312,41539,41889,40305,55524,77619,83162,88874,82070,78840,85469
 "26003","Alger, MI",3,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",114003,116210,126519,119748,118825,125277,124282,116982,118496,118592,123111,123115,125150,129122,134017,139120,146335,154417
 "26005","Allegan, MI",3,CAGDP2,1,"...","All industry total","Thousands of dollars",2633211,2724201,2821192,3026436,3076008,3214836,3321652,3312735,3155391,3298051,3569357,3569240,3815127,3843588,4074115,4324701,4461590,4990944
 "26005","Allegan, MI",3,CAGDP2,2,"..."," Private industries","Thousands of dollars",2402471,2480943,2564474,2762528,2798795,2929302,3027334,3007173,2844977,2977071,3219114,3208135,3447354,3473877,3686567,3926164,4047139,4547132
 "26005","Allegan, MI",3,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",25754,33952,145122,202921,160992,155984,199483,202275,185529,229323,288831,54568,220671,177538,18130,113694,88471,345432
