"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0500000US04001","Apache County, Arizona","71887","*****","15109","899","721","434","53480","1032","160","168","15","27","1127","595","1275","743","637","509","638","514"
"0500000US04003","Cochise County, Arizona","125922","*****","108177","1768","6163","1237","1006","911","2795","674","129","218","2141","1071","5511","1259","448","334","5063","1164"
"0500000US04005","Coconino County, Arizona","143476","*****","91649","1736","1364","461","37187","1082","2730","481","419","440","3897","1334","6230","1766","253","305","5977","1750"
"0500000US04013","Maricopa County, Arizona","4485414","*****","3547155","17870","266128","7213","93358","6179","192301","5275","10045","1308","213953","16250","162474","9681","31995","5459","130479","8908"
"0500000US04015","Mohave County, Arizona","212181","*****","188756","3072","1496","845","4358","1173","1923","474","138","225","7608","3077","7902","1920","1169","605","6733","1827"
"0500000US04017","Navajo County, Arizona","110924","*****","51262","1568","1309","842","50892","1655","193","198","136","184","3817","1327","3315","1393","306","276","3009","1377"
"0500000US04019","Pima County, Arizona","1047279","*****","795391","11179","38343","2151","40603","4240","29276","2215","1733","428","82611","9617","59322","7172","12368","3878","46954","6289"
"0500000US04021","Pinal County, Arizona","462789","*****","366928","6039","21264","1837","25035","1939","6642","1307","1197","456","21525","5127","20198","4143","2813","1208","17385","3801"
"0500000US04025","Yavapai County, Arizona","235099","*****","209030","3881","2020","477","4526","755","2543","688","51","82","12111","3742","4818","1484","931","793","3887","1118"
