"CAGDP9 Real GDP by county and metropolitan area 1/"
"(Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2019"
"12000","Florida","1","All industry total",963255865
"12000","Florida","2","  Private industries",863422442
"12000","Florida","3","    Agriculture, forestry, fishing and hunting",8325438
"12000","Florida","6","    Mining, quarrying, and oil and gas extraction",1614201
"12000","Florida","10","    Utilities",15812988
"12000","Florida","11","    Construction",45066333
"12000","Florida","12","    Manufacturing",53976007
"12000","Florida","13","      Durable goods manufacturing",33389708
"12000","Florida","25","      Nondurable goods manufacturing",20608938
"12000","Florida","34","    Wholesale trade",66961976
"12000","Florida","35","    Retail trade",75048921
"12000","Florida","36","    Transportation and warehousing",32119918
"12000","Florida","45","    Information",48897098
"12000","Florida","50","    Finance, insurance, real estate, rental, and leasing",212117375
"12000","Florida","51","      Finance and insurance",51851354
"12000","Florida","56","      Real estate and rental and leasing",160363722
"12000","Florida","59","    Professional and business services",132058127
"12000","Florida","60","      Professional, scientific, and technical services",74812304
"12000","Florida","64","      Management of companies and enterprises",18954406
"12000","Florida","65","      Administrative and support and waste management and remediation services",38560608
"12000","Florida","68","    Educational services, health care, and social assistance",93975124
"12000","Florida","69","      Educational services",9453410
"12000","Florida","70","      Health care and social assistance",84622201
"12000","Florida","75","    Arts, entertainment, recreation, accommodation, and food services",54162837
"12000","Florida","76","      Arts, entertainment, and recreation",15161171
"12000","Florida","79","      Accommodation and food services",39014319
"12000","Florida","82","    Other services (except government and government enterprises)",23761267
"12000","Florida","83","Government and government enterprises",100419153
"12000","Florida","","Addenda:",""
"12000","Florida","87","Natural resources and mining",9995510
"12000","Florida","88","Trade",141889666
"12000","Florida","89","Transportation and utilities",47963156
"12000","Florida","90","Manufacturing and information",102686684
"12000","Florida","91","Private goods-producing industries 2/",109862092
"12000","Florida","92","Private services-providing industries 3/",753429621
"13000","Georgia","1","All industry total",547422652
"13000","Georgia","2","  Private industries",487507546
"13000","Georgia","3","    Agriculture, forestry, fishing and hunting",4917985
"13000","Georgia","6","    Mining, quarrying, and oil and gas extraction",1456256
"13000","Georgia","10","    Utilities",9640089
"13000","Georgia","11","    Construction",20112129
"13000","Georgia","12","    Manufacturing",55264461
"13000","Georgia","13","      Durable goods manufacturing",27151695
"13000","Georgia","25","      Nondurable goods manufacturing",28108723
"13000","Georgia","34","    Wholesale trade",40688874
"13000","Georgia","35","    Retail trade",32250535
"13000","Georgia","36","    Transportation and warehousing",21251928
