"CAGDP1 Gross Domestic Product (GDP) summary by county and metropolitan area"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2016"
"04001","Apache, AZ","1","Real GDP (thousands of chained 2012 dollars)",2509130
"04001","Apache, AZ","2","Chain-type quantity indexes for real GDP",91.952
"04001","Apache, AZ","3","Current-dollar GDP (thousands of current dollars)",2719360
"04003","Cochise, AZ","1","Real GDP (thousands of chained 2012 dollars)",4315749
"04003","Cochise, AZ","2","Chain-type quantity indexes for real GDP",97.255
"04003","Cochise, AZ","3","Current-dollar GDP (thousands of current dollars)",4629088
"04005","Coconino, AZ","1","Real GDP (thousands of chained 2012 dollars)",6396139
"04005","Coconino, AZ","2","Chain-type quantity indexes for real GDP",103.915
"04005","Coconino, AZ","3","Current-dollar GDP (thousands of current dollars)",7016327
"04007","Gila, AZ","1","Real GDP (thousands of chained 2012 dollars)",1895553
"04007","Gila, AZ","2","Chain-type quantity indexes for real GDP",99.257
"04007","Gila, AZ","3","Current-dollar GDP (thousands of current dollars)",1804763
"04009","Graham, AZ","1","Real GDP (thousands of chained 2012 dollars)",971213
"04009","Graham, AZ","2","Chain-type quantity indexes for real GDP",106.459
"04009","Graham, AZ","3","Current-dollar GDP (thousands of current dollars)",1027628
"04011","Greenlee, AZ","1","Real GDP (thousands of chained 2012 dollars)",1447670
"04011","Greenlee, AZ","2","Chain-type quantity indexes for real GDP",94.466
"04011","Greenlee, AZ","3","Current-dollar GDP (thousands of current dollars)",1204827
"04012","La Paz, AZ","1","Real GDP (thousands of chained 2012 dollars)",582158
"04012","La Paz, AZ","2","Chain-type quantity indexes for real GDP",99.257
"04012","La Paz, AZ","3","Current-dollar GDP (thousands of current dollars)",627646
"04013","Maricopa, AZ","1","Real GDP (thousands of chained 2012 dollars)",204282531
"04013","Maricopa, AZ","2","Chain-type quantity indexes for real GDP",109.760
"04013","Maricopa, AZ","3","Current-dollar GDP (thousands of current dollars)",220788199
"04015","Mohave, AZ","1","Real GDP (thousands of chained 2012 dollars)",4841032
"04015","Mohave, AZ","2","Chain-type quantity indexes for real GDP",107.494
"04015","Mohave, AZ","3","Current-dollar GDP (thousands of current dollars)",5228844
"04017","Navajo, AZ","1","Real GDP (thousands of chained 2012 dollars)",3227185
"04017","Navajo, AZ","2","Chain-type quantity indexes for real GDP",97.331
"04017","Navajo, AZ","3","Current-dollar GDP (thousands of current dollars)",3372182
"04019","Pima, AZ","1","Real GDP (thousands of chained 2012 dollars)",37134412
"04019","Pima, AZ","2","Chain-type quantity indexes for real GDP",101.929
"04019","Pima, AZ","3","Current-dollar GDP (thousands of current dollars)",40131147
"04021","Pinal, AZ","1","Real GDP (thousands of chained 2012 dollars)",6590811
"04021","Pinal, AZ","2","Chain-type quantity indexes for real GDP",98.625
"04021","Pinal, AZ","3","Current-dollar GDP (thousands of current dollars)",6935550
"04023","Santa Cruz, AZ","1","Real GDP (thousands of chained 2012 dollars)",1544234
"04023","Santa Cruz, AZ","2","Chain-type quantity indexes for real GDP",99.851
"04023","Santa Cruz, AZ","3","Current-dollar GDP (thousands of current dollars)",1678111
"04025","Yavapai, AZ","1","Real GDP (thousands of chained 2012 dollars)",6038037
"04025","Yavapai, AZ","2","Chain-type quantity indexes for real GDP",111.797
"04025","Yavapai, AZ","3","Current-dollar GDP (thousands of current dollars)",6434123
"04027","Yuma, AZ","1","Real GDP (thousands of chained 2012 dollars)",7370372
