"GeoFips","GeoName","LineCode","Description","2016"
"00000","United States","1","All industry total",17688890000
"00000","United States","2","  Private industries",15448149000
"00000","United States","3","    Agriculture, forestry, fishing and hunting",236614000
"00000","United States","6","    Mining, quarrying, and oil and gas extraction",422833000
"00000","United States","10","    Utilities",279005000
"00000","United States","11","    Construction",625225000
"00000","United States","12","    Manufacturing",2027013000
"00000","United States","13","      Durable goods manufacturing",1124532000
"00000","United States","25","      Nondurable goods manufacturing",902019000
"00000","United States","34","    Wholesale trade",1090276000
"00000","United States","35","    Retail trade",1019805000
"00000","United States","36","    Transportation and warehousing",516098000
"00000","United States","45","    Information",1007015000
"00000","United States","50","    Finance, insurance, real estate, rental, and leasing",3450622000
"00000","United States","51","      Finance and insurance",1194271000
"00000","United States","56","      Real estate and rental and leasing",2256066000
"00000","United States","59","    Professional and business services",2189513000
"00000","United States","60","      Professional, scientific, and technical services",1332380000
"00000","United States","64","      Management of companies and enterprises",350595000
"00000","United States","65","      Administrative and support and waste management and remediation services",507111000
"00000","United States","68","    Educational services, health care, and social assistance",1546890000
"00000","United States","69","      Educational services",220580000
"00000","United States","70","      Health care and social assistance",1326709000
"00000","United States","75","    Arts, entertainment, recreation, accommodation, and food services",682621000
"00000","United States","76","      Arts, entertainment, and recreation",185339000
"00000","United States","79","      Accommodation and food services",497237000
"00000","United States","82","    Other services (except government and government enterprises)",356172000
"00000","United States","83","Government and government enterprises",2163376000
"00000","United States","","Addenda:",""
"00000","United States","87","Natural resources and mining",670568467
"00000","United States","88","Trade",2110149251
"00000","United States","89","Transportation and utilities",794403065
"00000","United States","90","Manufacturing and information","(NA)"
"00000","United States","91","Private goods-producing industries 2/",3320248000
"00000","United States","92","Private services-providing industries 3/",12122964000
"04000","Arizona","1","All industry total",289230418
"04000","Arizona","2","  Private industries",252751954
"04000","Arizona","3","    Agriculture, forestry, fishing and hunting",3540263
"04000","Arizona","6","    Mining, quarrying, and oil and gas extraction",4752988
"04000","Arizona","10","    Utilities",6219504
"04000","Arizona","11","    Construction",10867560
"04000","Arizona","12","    Manufacturing",25889093
"04000","Arizona","13","      Durable goods manufacturing",21809208
"04000","Arizona","25","      Nondurable goods manufacturing",4085322
"04000","Arizona","34","    Wholesale trade",17155572
"04000","Arizona","35","    Retail trade",21982731
"04000","Arizona","36","    Transportation and warehousing",8759044
"04000","Arizona","45","    Information",10864871
"04000","Arizona","50","    Finance, insurance, real estate, rental, and leasing",62554795
"04000","Arizona","51","      Finance and insurance",18341743
"04000","Arizona","56","      Real estate and rental and leasing",44275030
"04000","Arizona","59","    Professional and business services",33245666
"04000","Arizona","60","      Professional, scientific, and technical services",16977767
"04000","Arizona","64","      Management of companies and enterprises",3824376
"04000","Arizona","65","      Administrative and support and waste management and remediation services",12454075
"04000","Arizona","68","    Educational services, health care, and social assistance",28741713
"04000","Arizona","69","      Educational services",3508562
"04000","Arizona","70","      Health care and social assistance",25250279
"04000","Arizona","75","    Arts, entertainment, recreation, accommodation, and food services",12596194
"04000","Arizona","76","      Arts, entertainment, and recreation",3059413
"04000","Arizona","79","      Accommodation and food services",9542972
"04000","Arizona","82","    Other services (except government and government enterprises)",5552375
"04000","Arizona","83","Government and government enterprises",36583218
"04000","Arizona","","Addenda:",""
"04000","Arizona","87","Natural resources and mining",8331908
"04000","Arizona","88","Trade",39135154
"04000","Arizona","89","Transportation and utilities",14959986
"04000","Arizona","90","Manufacturing and information","(NA)"
"04000","Arizona","91","Private goods-producing industries 2/",45297091
"04000","Arizona","92","Private services-providing industries 3/",207470031
"12000","Florida","1","All industry total",866730997
"12000","Florida","2","  Private industries",770679140
