State;ST;Fips;County;Precincts;Votes;Democrats 08 (Votes);Democrats 12 (Votes);Republicans 08 (Votes);Republicans 12 (Votes);Republicans 2016;Democrats 2016;Green 2016;Libertarians 2016;Republicans 2012;Republicans 2008;Democrats 2012;Democrats 2008;Less Than High School Diploma;At Least High School Diploma;At Least Bachelors's Degree;Graduate Degree;School Enrollment;Median Earnings 2010;White (Not Latino) Population;African American Population;Native American Population;Asian American Population;Other Race or Races;Latino Population;Children Under 6 Living in Poverty;Adults 65 and Older Living in Poverty;Total Population;Preschool.Enrollment.Ratio.enrolled.ages.3.and.4;Poverty.Rate.below.federal.poverty.threshold;Gini.Coefficient;Child.Poverty.living.in.families.below.the.poverty.line;Management.professional.and.related.occupations;Service.occupations;Sales.and.office.occupations;Farming.fishing.and.forestry.occupations;Construction.extraction.maintenance.and.repair.occupations;Production.transportation.and.material.moving.occupations;White;Black;Hispanic;Asian;Amerindian;Other;White  Asian;Sire Homogeneity;Median Age;lon;lat;Poor.physical.health.days;Poor.mental.health.days;Low.birthweight;Teen.births;Children.in.single.parent.households;Adult.smoking;Adult.obesity;Diabetes;Sexually.transmitted.infections;HIV.prevalence.rate;Uninsured;Unemployment;Violent.crime;Homicide.rate;Injury.deaths;Infant.mortality;CA;S;MAR;CFS;ACFS;Mean Alc;Max Alc;Mixedness;elevation;Annual Prcp;Winter Prcp;Summer Prcp;Spring Prcp;Autumn Prcp;Annual Tavg;Annual Tmax;Annual Tmin;Winter Tavg;Winter Tmax;Winter Tmin;Summer Tavg;Summer Tmax;Summer Tmin;Spring Tavg;Spring Tmax;Spring Tmin;Autumn Tavg;Autumn Tmax;Autumn Tmin;Nearest County;temp;precip;Temp Bins;Lat Bins;Lon Bins;Precip Bins;Elevation Bins;Geo Shape;Name 16;reporting;Votes16 Trumpd;Votes16 Clintonh;Votes16 Johnsong;Votes16 Steinj;Votes16 Castled;Votes16 De La Fuenter;Est Votes Remaining;Votes16 Mcmulline;Votes16 Hedgesj;Votes16 Kahnl;Votes16 La Rivag;Votes16 Hoeflingt;Votes16 Kenistonc;Votes16 Smithm;Votes16 Atwoodf;Votes16 Kennedya;Votes16 Kopitkek;Votes16 Kotlikoffl;Votes16 Lyttleb;Votes16 Maldonadoj;Votes16 Maturenm;Votes16 Scottr;Votes16 Silvar;Votes16 Soltysike;Votes16 Vacekd;Votes16 Copelands;Votes16 Jacobp;Votes16 Whitej;Votes16 Mooreheadm;Votes16 None Of These Candidates;Votes16 Duncanr;Votes16 Skewesp;Votes16 Giordanir;total16;Other16 Frac;Rep16 Frac2;Dem16 Frac2;Name Prev;Statecode Prev;total08;total12;other08;other12;Other12 Frac;Other08 Frac;Rep12 Frac2;Rep08 Frac2;Dem12 Frac2;Dem08 Frac2
Michigan;MI;26141;Presque Isle County, Michigan;17;7215;3722;3192;3606;3794;62.17602217602217;33.264033264033266;0.693000693000693;3.2848232848232852;53.58757062146893;48.04796802131912;45.08474576271186;49.59360426382411;14.7;85.3;14.3;4.7;76.55;21330.295555;97.05;0.30000000000000004;0.7000000000000001;0.2;1.0;0.75;18.9;7.15;13559;42.5;12.0;0.402;16.6;25.95;17.6;23.7;3.65;13.85;15.1;97.05;0.30000000000000004;0.75;0.2;0.7000000000000001;1.0;97.25;0.9420885;50.5;-83.3840186;45.4895147;7.1;2.6;0.07;23.1;0.308;0.159;0.333;0.135;68.4;;0.162;0.14;145.84;;87.6;;-0.521800163798754;-0.190422863070787;0.865160305563694;0.00011355183420000002;0.00011355183420000002;0.000136013377317;0.001189790209012;0.40790382040772505;;;;;;;;;;;;;;;;;;;;;;;;;;;(-84.5,-82.1];;;"{""type"": ""Polygon"", ""coordinates"": [[[-84.2481249996, 45.452924], [-84.2520200002, 45.6259979999], [-84.2042630003, 45.6262469997], [-84.2010620002, 45.7522750001], [-84.1230980004, 45.7776680002], [-84.0000050004, 45.7753070001], [-83.6368669996, 45.7739440002], [-83.4999899998, 45.7715810001], [-83.4839739996, 45.7719370003], [-83.1525560002, 45.6250209998], [-82.9999629996, 45.5563779999], [-82.8787649998, 45.5000220001], [-82.8749560004, 45.496723], [-82.7499500004, 45.4422210002], [-82.6029939999, 45.3750360001], [-82.5206399999, 45.3359020004], [-82.4905960003, 45.2084839997], [-82.4999370003, 45.2082240003], [-82.4999370003, 45.2114760001], [-82.6249420003, 45.2127779999], [-82.6249420003, 45.2105970001], [-82.7499480003, 45.2098400002], [-82.7499480003, 45.2122479997], [-82.8749449999, 45.2093259999], [-82.9999590003, 45.2078700002], [-82.9999590003, 45.2064090003], [-83.5138820002, 45.2071229999], [-83.6167580004, 45.2046409997], [-83.7520960002, 45.205038], [-84.022072, 45.1984239999], [-84.2466340001, 45.1987179999], [-84.246613, 45.2820730002], [-84.2493799999, 45.2820730002], [-84.2475019996, 45.368306], [-84.2481249996, 45.452924]]]}";Presque Isle;17;4486;2400;237;50;39;;0;;;;;;;;;;;;;;;;;3;;;;;;;;;;7215.0;0.032848232848232004;0.651466744118501;0.348533255881498;Presque Isle;26;7505;7080;177;94;0.013276836158192001;0.023584277148567003;0.543086172344689;0.492085152838427;0.45691382765531;0.5079148471615721
Michigan;MI;26025;Calhoun County, Michigan;62;58786;34561;29267;28553;28333;53.565474772905105;41.08801415302963;1.07338481951485;3.881876637294594;48.57613112280762;44.47784908717054;50.17744783719375;53.83668764408998;12.9;87.1;18.8;6.5;75.75;25772.74635;80.65;10.45;0.5;1.6;2.5;4.25;32.45;8.35;136510;41.4;16.45;0.434;25.45;27.9;17.8;24.35;0.45;8.35;21.2;80.65;10.45;4.25;1.6;0.5;2.5;82.25;0.66407475;38.4;-85.0123853;42.2429896;4.0;4.9;0.08;49.2;0.417;0.258;0.371;0.122;662.8;101.4;0.14300000000000002;0.074;668.93;5.8100000000000005;73.4;9.1;-0.72915883642834;-0.7300475647833861;0.6245820378071311;2.6870308706905503e-05;2.6870308706905503e-05;3.65722739819411e-05;0.000166126102834;-0.560322814555494;284.7;3513.5;563.0;1086.0;890.5;974.0;;;;;;;;;;;;;;;;26025;;892.429;;;(-87.2,-84.5];(818,932];(259,317];"{""type"": ""Polygon"", ""coordinates"": [[[-85.2980159996, 42.3507270003], [-85.2991859996, 42.4198129999], [-84.9467539997, 42.4221830003], [-84.718493, 42.4215200003], [-84.7186019996, 42.334535], [-84.7169489998, 42.2469180002], [-84.711181, 42.1523600004], [-84.7095559997, 42.070366], [-84.8264909999, 42.0724679998], [-84.991029, 42.0728799999], [-85.2936260004, 42.0715529999], [-85.297088, 42.2490260002], [-85.2980159996, 42.3507270003]]]}";Calhoun;62;31489;24154;2282;631;201;;0;;;;;;;;;;;;;;;;;29;;;;;;;;;;58786.0;0.038818766372945006;0.565911255683554;0.434088744316445;Calhoun;26;64196;58327;1082;727;0.012464210399986;0.016854632687394;0.49189236111111106;0.45240358715974205;0.508107638888888;0.5475964128402571
Michigan;MI;26023;Branch County, Michigan;22;16490;8413;6913;9534;10035;66.85870224378411;28.744693753790173;0.848999393571861;3.183747725894481;58.5233568554266;52.1410992616899;40.31609027818277;46.01039103089965;13.4;86.6;14.1;4.8;75.2;23836.55492;90.35;3.05;0.35000000000000003;0.6000000000000001;1.5;4.15;28.35;10.3;45569;38.9;16.3;0.40900000000000003;23.1;26.15;16.1;22.5;2.2;8.05;25.0;90.35;3.05;4.15;0.6000000000000001;0.35000000000000003;1.5;90.95;0.819237999999999;39.1;-85.0665229;41.9185851;4.9;4.2;0.07;46.6;0.28300000000000003;0.148;0.35100000000000003;0.114;170.4;58.2;0.147;0.085;191.93;;57.3;6.4;-0.650688640238818;-0.225843511898273;0.628524764373382;3.71255136647486e-05;3.71255136647486e-05;3.7469210735884604e-05;0.00018346149803000002;-0.50199518852747;299.9;3805.0;662.0;1188.0;988.0;967.0;482.0;568.0;396.0;257.0;322.0;193.0;693.0;791.0;594.0;471.0;565.0;376.0;503.0;591.0;416.0;26023;9.0;966.47;8.12,9.33;;(-87.2,-84.5];(932,1.03e+03];(259,317];"{""type"": ""Polygon"", ""coordinates"": [[[-85.2929279997, 41.9848200003], [-85.2936260004, 42.0715529999], [-85.0603869996, 42.0728549997], [-84.8264909999, 42.0724679998], [-84.8250689999, 41.8979109999], [-84.82513, 41.7599990001], [-85.2921790003, 41.7598890004], [-85.2929279997, 41.9848200003]]]}";Branch;22;11025;4740;525;140;56;;0;;;;;;;;;;;;;;;;;4;;;;;;;;;;16490.0;0.031837477258944;0.699333967649857;0.300666032350142;Branch;26;18285;17147;338;199;0.011605528663906002;0.018485097074104003;0.592105263157894;0.53123084638101;0.40789473684210503;0.468769153618989
Michigan;MI;26155;Shiawassee County, Michigan;35;34044;19397;17197;16268;15962;56.49159910703795;36.85524615203854;1.063329808483139;4.876042768182352;47.394518839633;44.67389811890705;51.06149232459396;53.26651105313744;10.7;89.3;14.9;5.6;76.25;26515.239685;95.45;0.45;0.4;0.30000000000000004;1.15;2.2;23.15;6.7;71027;44.3;13.3;0.403;18.2;27.65;17.15;23.7;0.30000000000000004;12.05;19.2;95.45;0.45;2.2;0.30000000000000004;0.4;1.15;95.75;0.9117317500000001;39.4;-84.1463518;42.9515446;3.8;4.4;0.07;27.7;0.34400000000000003;0.213;0.34600000000000003;0.10300000000000001;233.4;35.1;0.132;0.093;243.46;;70.1;8.4;0.35765778156307304;-0.045617076992748;0.500663374409409;2.8339335330807004e-05;2.8339335330807004e-05;4.52493831280733e-05;0.00022626540817500003;-0.693607981699432;229.833333333333;3262.33333333333;529.666666666667;965.333333333333;838.333333333333;929.0;473.333333333333;575.333333333333;371.333333333333;247.666666666667;327.0;168.666666666667;687.333333333333;803.0;571.666666666667;455.666666666667;565.333333333333;345.666666666667;498.0;601.0;395.333333333333;26155;8.51851851851852;828.632666666667;8.12,9.33;;(-84.5,-82.1];(818,932];(216,259];"{""type"": ""Polygon"", ""coordinates"": [[[-84.3657120001, 42.9551200002], [-84.3673779996, 43.0382639997], [-84.3678909999, 43.1284520003], [-84.1680440001, 43.1286329996], [-84.050388, 43.1317090003], [-83.9290789996, 43.1327820003], [-83.9283839999, 43.0278470004], [-83.9288370001, 42.9565480004], [-83.9299110002, 42.956511999599996], [-83.929867, 42.949791], [-83.9271640003, 42.8683439996], [-83.922516, 42.7808209996], [-84.1581889998, 42.7766390001], [-84.3636589999, 42.775778], [-84.3657120001, 42.9551200002]]]}";Shiawassee;35;19232;12547;1660;362;221;;0;;;;;;;;;;;;;;;;;22;;;;;;;;;;34044.0;0.048760427681823;0.605179521067371;0.394820478932628;Shiawassee;26;36415;33679;750;520;0.01543988835773;0.020595908279555;0.481377604873488;0.45613346418056905;0.5186223951265111;0.54386653581943
Michigan;MI;26097;Mackinac County, Michigan;14;6088;3027;2652;3268;3397;61.4323258869908;34.247700394218136;1.116951379763469;2.956636005256242;55.697655353336614;51.09443402126329;43.482538121003444;47.32645403377111;10.9;89.1;20.1;7.6;78.65;21443.87524;76.8;1.65;15.05;0.6000000000000001;4.75;1.2;21.9;6.65;10992;44.8;13.55;0.40900000000000003;17.95;25.55;25.05;24.95;1.0;13.85;9.65;76.8;1.65;1.2;0.6000000000000001;15.05;4.75;77.4;0.61518275;47.1;-85.3037562;46.1679807;3.1;;0.07;19.3;0.281;0.242;0.338;0.125;154.0;;0.209;0.107;229.6;;90.4;;0.063468982172111;-0.086373802151402;0.6817452287744541;5.7906973335353204e-05;5.7906973335353204e-05;8.125558295687031e-05;0.00048224101894300006;-0.23062159294931803;241.725;;;;;;410.25;511.5;309.25;182.0;271.0;93.75;626.75;742.25;511.25;382.5;492.5;272.0;446.25;536.75;356.0;26097;5.01388888888889;;-10.1,6.44;;(-87.2,-84.5];;(216,259];"{""type"": ""Polygon"", ""coordinates"": [[[-85.8651160002, 46.1584390003], [-85.8650249996, 46.244631], [-85.5092340003, 46.2456870002], [-85.1251159997, 46.2456880002], [-85.1131259999, 46.2456670001], [-85.1124379996, 46.1581909996], [-84.3635029999, 46.157984], [-84.3630899997, 46.0715810004], [-84.2388360002, 46.071457], [-84.2393129997, 45.9848799996], [-84.1141850003, 45.9852159998], [-84.1177100001, 45.875016], [-84.1230980004, 45.7776680002], [-84.2077150003, 45.750011], [-84.250045, 45.7398279999], [-84.3387400001, 45.7059040003], [-84.3531210004, 45.6993969997], [-84.366314, 45.6958719999], [-84.3750279998, 45.6944330001], [-84.3952129999, 45.6928160002], [-84.411773, 45.6924470002], [-84.4369049998, 45.6937589996], [-84.4642730001, 45.6969540003], [-84.4834749998, 45.7006930001], [-84.4971029996, 45.704357], [-84.5100389999, 45.7094320002], [-84.541712, 45.723722], [-84.5688440003, 45.7380770001], [-84.5805899996, 45.7455389997], [-84.6250440001, 45.7794430002], [-84.6307640004, 45.7828869998], [-84.6545589996, 45.7936050004], [-84.67268199989999, 45.8003399998], [-84.6859569996, 45.804011], [-84.7009910004, 45.8072360003], [-84.7153689998, 45.8090599999], [-84.7318390003, 45.8103170003], [-84.7551610002, 45.8104900002], [-84.7655410004, 45.8112949996], [-84.9425380004, 45.8427349997], [-84.971742, 45.8451840002], [-85.0210179998, 45.8469649996], [-85.0417950001, 45.8491479996], [-85.0939210001, 45.8590759997], [-85.1250690002, 45.8663860004], [-85.3750840004, 45.8763640001], [-85.57007400009999, 45.8832439999], [-85.6248140001, 45.8758909999], [-85.6629159999, 45.8695879997], [-85.6988929997, 45.8633069996], [-85.7589690002, 45.851166], [-85.8063970002, 45.8396480004], [-85.8553009999, 45.8247070002], [-85.8682410004, 45.8197950003], [-85.863961, 46.0719949997], [-85.8651160002, 46.1584390003]]]}";Mackinac;14;3740;2085;180;68;12;;0;;;;;;;;;;;;;;;;;3;;;;;;;;;;6088.0;0.029566360052562003;0.6420600858369091;0.35793991416309;Mackinac;26;6396;6099;101;50;0.008198065256599;0.015791119449656003;0.5615804265167791;0.51914217633042;0.43841957348322;0.480857823669579
Michigan;MI;26113;Missaukee County, Michigan;17;7301;2898;2274;4469;4665;73.77071634022737;21.435419805506093;1.013559786330639;3.300917682509244;66.38679379536076;59.65029364655633;32.360893695744984;38.68126001067806;14.4;85.6;12.9;3.9;73.55;21493.384125;95.9;0.35000000000000003;0.6000000000000001;0.25;1.05;1.85;23.2;7.55;14908;31.1;15.5;0.396;23.4;25.6;17.2;22.7;3.45;10.75;20.3;95.9;0.35000000000000003;1.85;0.25;0.6000000000000001;1.05;96.15;0.920188;41.8;-85.0854708;44.325424;;3.3;0.06;36.4;0.295;0.20400000000000001;0.329;0.122;187.8;39.3;0.161;0.108;31.33;;66.8;;0.32411755062970204;-0.10441771843696601;0.5992077287318951;3.5880947872546406e-05;3.5880947872546406e-05;4.6009861846434605e-05;0.000218784413742;-0.526838189017617;360.4;3156.5;478.0;988.0;770.5;920.0;433.0;548.0;317.5;209.5;298.5;120.0;649.0;783.5;514.5;412.5;537.0;288.0;456.5;568.5;344.5;26113;6.27777777777778;801.751;-10.1,6.44;;(-87.2,-84.5];(628,818];(317,396];"{""type"": ""Polygon"", ""coordinates"": [[[-85.3384039996, 44.4253759997], [-85.3350660004, 44.4766540001], [-85.334, 44.5123030001], [-85.0929470001, 44.5104609997], [-84.850929, 44.5110689998], [-84.8557950004, 44.4219839998], [-84.8556469999, 44.378948], [-84.8528569999, 44.2914330003], [-84.8531800004, 44.2482429997], [-84.8517049998, 44.1613750003], [-84.8900629997, 44.161252], [-85.1056899996, 44.1644999996], [-85.3346619998, 44.1648379999], [-85.3384039996, 44.4253759997]]]}";Missaukee;17;5386;1565;241;74;31;;0;;;;;;;;;;;;;;;;;4;;;;;;;;;;7301.0;0.033009176825092;0.774852539202992;0.225147460797007;Missaukee;26;7492;7027;125;88;0.012523125088942001;0.016684463427656;0.672287073065283;0.60662413465454;0.32771292693471604;0.39337586534545904
Michigan;MI;26103;Marquette County, Michigan;36;32897;19635;18115;12906;13606;44.52077697054443;48.76432501443901;1.7721980727725932;4.432015077362678;42.26253339131515;38.89106524031942;56.26824874200162;59.16829893023957;8.3;91.7;29.7;9.0;78.95;21202.636825;93.35;1.6;1.55;0.6000000000000001;1.9;1.0;16.85;9.95;66187;53.8;13.75;0.439;13.75;32.3;21.8;26.2;0.65;10.4;8.65;93.35;1.6;1.0;0.6000000000000001;1.55;1.9;93.95;0.8724155;39.6;-87.5840278;46.6565965;3.7;2.7;0.07;13.9;0.243;0.212;0.295;0.094;209.8;42.5;0.138;0.077;163.47;;52.9;;0.6982809250486861;0.44209840713762705;0.560565677160002;-8.83807149704152e-06;8.83807149704152e-06;0.00010555995590800001;0.0004989461774100001;-0.5774500168722541;350.442857142857;3202.57142857143;532.714285714286;960.142857142857;741.428571428571;968.285714285714;;;;;;;;;;;;;;;;26103;;813.453142857143;;;(-90.4,-87.2];(628,818];(317,396];"{""type"": ""Polygon"", ""coordinates"": [[[-88.1166030004, 46.5065230002], [-88.1165059996, 46.650401], [-88.1158429996, 46.6783809998], [-87.9915459998, 46.6791130003], [-87.9913889998, 46.7651589996], [-88.0447089999, 46.7653530004], [-88.0451119996, 46.8344689996], [-88.0445729999, 46.8382309996], [-88.0448599997, 46.8804680003], [-88.0435620001, 46.9999209997], [-88.0438429996, 47.1249190002], [-88.0466139996, 47.2186959999], [-87.7501169999, 47.2210440003], [-87.1121139996, 47.2232690004], [-87.1122450002, 46.7499260004], [-87.1132770001, 46.6247230003], [-87.1166340003, 46.4948079996], [-87.1160799999, 46.1589450002], [-87.241555, 46.158901], [-87.2428850001, 45.9850870002], [-87.6170389999, 45.9860060003], [-87.6170129997, 45.9999530004], [-87.6164509998, 45.9999539996], [-87.6159140002, 46.2467939999], [-87.7672769998, 46.2474830002], [-88.1174069997, 46.2466179999], [-88.1166030004, 46.5065230002]]]}";Marquette;36;14646;16042;1458;583;152;;0;;;;;;;;;;;;;;;;;16;;;;;;;;;;32897.0;0.044320150773626006;0.47725495307612104;0.522745046923879;Marquette;26;33185;32194;644;473;0.014692178666832001;0.019406358294410002;0.42892720910437804;0.396607356872868;0.571072790895621;0.603392643127131
Michigan;MI;26083;Keweenaw County, Michigan;5;1429;610;582;756;774;56.962911126662;36.87893631910427;1.3995801259622112;4.338698390482855;55.603448275862064;53.61702127659574;41.810344827586206;43.262411347517734;9.2;90.8;22.0;7.7;67.6;20422.62254;97.7;0.05;0.65;0.0;0.9500000000000001;0.6000000000000001;42.45;6.75;2190;0.0;20.05;0.40700000000000003;41.4;28.25;25.9;21.25;0.9500000000000001;12.45;11.2;97.7;0.05;0.6000000000000001;0.0;0.65;0.9500000000000001;97.7;0.95469775;50.6;-88.1488021;47.6819813;;;;;0.21;;0.322;0.125;460.2;;0.158;0.122;123.25;;;;;-0.5180803351704161;1.00333403220203;7.151063017457601e-05;7.151063017457601e-05;8.027475591039233e-05;0.000279232867198;0.25083686577046604;190.65;;;;;;418.0;489.5;345.5;204.5;265.5;143.0;622.0;706.5;537.0;381.0;460.5;301.5;460.0;522.0;398.5;26083;5.44444444444444;;-10.1,6.44;;(-90.4,-87.2];;(167,216];"{""type"": ""Polygon"", ""coordinates"": [[[-88.512535, 47.2859450003], [-88.7501130004, 47.3909610002], [-89.0001089997, 47.4990909999], [-89.0001089997, 47.4999130001], [-89.5001040003, 47.6592909997], [-89.6807300004, 47.7145520003], [-89.483385, 48.0137159998], [-89.3375499999, 47.9742609996], [-89.0000739999, 48.1135209996], [-88.677442, 48.2453969999], [-88.369862, 48.3060629997], [-88.0000770003, 48.1640499996], [-88.0000780003, 48.1558829998], [-87.910813, 48.1248779999], [-87.9082450003, 48.1248779999], [-87.8750819998, 48.113432], [-87.8750819998, 48.1147260003], [-87.7500870003, 48.0662450003], [-87.7500870003, 48.063878], [-87.6250909998, 48.0211089999], [-87.6250909998, 48.0190189997], [-87.5742410003, 47.9998849996], [-87.5768819998, 47.9998849996], [-87.5000950003, 47.9681140004], [-87.3750989998, 47.9202320001], [-87.2501030003, 47.8704769998], [-87.1126950003, 47.8179979998], [-87.1121139996, 47.2232690004], [-87.7501169999, 47.2210440003], [-88.0466139996, 47.2186959999], [-88.0460630003, 47.199722], [-88.2984360004, 47.199782], [-88.298992, 47.2860970001], [-88.512535, 47.2859450003]]]}";Keweenaw;5;814;527;62;20;5;;0;;;;;;;;;;;;;;;;;1;;;;;;;;;;1429.0;0.043386983904828;0.6070096942580161;0.392990305741983;Keweenaw;26;1410;1392;44;36;0.025862068965517;0.031205673758865002;0.570796460176991;0.5534407027818441;0.429203539823008;0.446559297218155
Michigan;MI;26045;Eaton County, Michigan;52;55686;30742;27913;25900;26197;49.57799087741982;44.057752397370976;1.081061667205401;4.6995654203929185;47.81521501058626;44.95279089141905;50.94728772723954;53.35670647042489;7.6;92.4;24.3;8.5;78.3;30411.746665;85.7;5.95;0.30000000000000004;1.6;2.15;4.3;18.3;6.45;107326;38.2;8.85;0.377;11.95;32.5;16.55;26.4;0.25;7.9;16.4;85.7;5.95;4.3;1.6;0.30000000000000004;2.15;87.3;0.7405655;39.3;-84.8465237;42.5896144;3.0;3.7;0.07;23.6;0.28800000000000003;0.212;0.329;0.1;278.6;54.3;0.112;0.064;182.17;1.72;49.5;5.1;-0.15352264407982202;0.645417232035699;0.47027999028544104;-4.5740024378626605e-05;4.5740024378626605e-05;0.00011255291193200001;0.00036990393847;-0.49413056155684104;262.65;3436.5;593.75;992.0;892.5;958.25;;;;;;;;;;;;;;;;26045;;872.871;;;(-87.2,-84.5];(818,932];(259,317];"{""type"": ""Polygon"", ""coordinates"": [[[-85.075043, 42.5962789997], [-85.0755819997, 42.6835889997], [-85.0742450001, 42.7707839999], [-84.6027610004, 42.7698799996], [-84.6029490001, 42.640243], [-84.60040299959999, 42.4219840002], [-84.7332270004, 42.421455], [-84.9467539997, 42.4221830003], [-85.071609, 42.4214279997], [-85.075043, 42.5962789997]]]}";Eaton;52;27608;24534;2617;602;302;;0;;;;;;;;;;;;;;;;;23;;;;;;;;;;55686.0;0.046995654203929;0.529477196885428;0.470522803114571;Eaton;26;57616;54788;974;678;0.012374972621741;0.016905026381560002;0.484143411569026;0.457257865188376;0.515856588430973;0.542742134811623
Michigan;MI;26157;Tuscola County, Michigan;31;26157;13503;11425;13740;14240;66.60167450395687;28.646251481439005;0.8257827732538131;3.391061666093206;54.76291197169557;49.42801640405784;43.93723801099873;48.575437081804445;15.2;84.8;12.4;3.9;76.3;23821.590795;94.2;1.2;0.45;0.30000000000000004;1.15;2.7;22.7;8.9;56133;45.8;15.5;0.39;21.4;24.55;20.6;23.6;1.4;11.3;18.6;94.2;1.2;2.7;0.30000000000000004;0.45;1.15;94.5;0.8883985;40.7;-83.4366179;43.4879024;3.6;3.7;0.07;27.2;0.269;0.20700000000000002;0.309;0.109;185.8;24.8;0.146;0.099;171.75;;55.9;6.0;-0.34524492022436704;0.020153439757584;0.569781630897345;2.5865858516160903e-05;2.5865858516160903e-05;5.09185177780174e-05;0.000216192098158;-0.603811038857825;198.275;3320.0;529.75;1008.5;820.5;961.25;;;;;;;;;;;;;;;;26157;;843.28;;;(-84.5,-82.1];(818,932];(167,216];"{""type"": ""Polygon"", ""coordinates"": [[[-83.6988160002, 43.4789570004], [-83.6996889999, 43.5827119998], [-83.6992060002, 43.5973920004], [-83.70125, 43.6493119998], [-83.7031979999, 43.6732189998], [-83.7083170003, 43.8287209996], [-83.4674029998, 43.7289090004], [-83.4665920002, 43.6676209997], [-83.2355469998, 43.6718850003], [-83.1178440002, 43.6754930003], [-83.1146189999, 43.5879949997], [-83.1086099998, 43.479203], [-83.1038260004, 43.3273650001], [-83.3544180002, 43.3222570002], [-83.3517090003, 43.2351929998], [-83.4607079996, 43.2327909996], [-83.4607329998, 43.2231310002], [-83.5771169997, 43.2228030004], [-83.6956210003, 43.2214219996], [-83.6952579998, 43.3260479996], [-83.6983890003, 43.3264480001], [-83.6988160002, 43.4789570004]]]}";Tuscola;31;17421;7493;887;216;124;;0;;;;;;;;;;;;;;;;;16;;;;;;;;;;26157.0;0.033910616660932;0.699245404190415;0.300754595809584;Tuscola;26;27798;26003;555;338;0.012998500173056001;0.019965465141377002;0.554841223456068;0.5043497412179271;0.44515877654393105;0.49565025878207203
