,Some data here provided courtesy of the Associated Press Election Research Group,,,,2016 General Election Pre-Election Advance Turnout Report: Accepted or Returned Ballots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2012 GE,,2016 GE,,,,,,2016 Advance Accepted or Returned by Party,,,,,,,,,2016 Advance Accepted or Returned by Race,,,,,,,,,,,2016 Advance Accepted or Returned by Gender,,,,,,,2016 Advance Accepted or Returned by Age,,,,,,,,,,,
State,CD,Source,Total Cand Vote w/o Write-In,"Total ""Advance"" ballots Cast (mail and in-person)",Mail Ballots Sent or Requested,Mail Ballots Returned,Early/In Person Cast,Total Advance,As of,% of 2012 Advance,Dem,%,Rep,%,Other,%,Ind,%,Party total,White,%,Black,%,Hispanic,%,Other,%,Unknown,%,Race Total,Female,%,Male,%,Unknown,%,Gender Total,18-29,%,30-44,%,45-60,%,60+,%,Unknown,%,Age Total,Note
AL,,AP,"2,070,327","86,146","5,846","2,399",,"2,399",10/12,2.8%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
AK,,AP,"297,625","79,885","70,224","51,803",,"51,803",11/4,64.8%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
AZ,,https://twitter.com/Garrett_Archer/status/795688141520650240,"2,298,802","1,515,164",,"1,661,874",,"1,661,874",11/7,109.7%,"554,910",33.6%,"659,600",40.0%,"25,845",1.6%,"409,272",24.8%,"1,649,627",, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,party breakdown does not reflect updated total
AR,,https://twitter.com/ARSecofState/status/795662845652373508,"1,069,468","497,962",,"25,199","565,468","590,667",11/7,118.6%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
CA,,https://public.tableau.com/profile/paulmitche11#!/vizhome/PDIAV2016GeneralWorksheet/PDI2016VOTERRETURNSDASHBOARD,"13,015,298","6,753,688","11,708,213","5,294,036",,"5,294,036",11/8,78.4%,"2,430,715",45.9%,"1,658,835",31.3%,, ,"1,204,486",22.8%,"5,294,036",, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,Ind includes minor parties
CO,,https://content.govdelivery.com/attachments/COSOS/2016/11/08/file_attachments/655240/Ballots%2BReceived%2Bto%2BDate_20161108.pdf,"2,569,516","2,090,426",,"2,215,258",,"2,215,258",11/8,106.0%,"753,052",34.0%,"771,745",34.8%,"33,579",1.5%,"656,882",29.7%,"2,215,258",, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,Every registered voter will receive a mail ballot
CT,,,"1,558,132","148,745",,,,0,,0.0%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
DE,,AP,"413,890","20,766","26,647","22,387",,"22,387",11/4,107.8%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
DC,,https://www.dcboee.org/ev/,"292,992","68,641",,,"101,077","101,077",11/5,147.3%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
FL,,https://countyballotfiles.elections.myflorida.com/FVRSCountyBallotReports/AbsenteeEarlyVotingReports/PublicStats,"8,474,134","4,789,212","6,980,238","2,636,783","3,874,929","6,511,712",11/8,136.0%,"2,593,110",39.8%,"2,502,999",38.4%,"156,599",2.4%,"1,259,004",19.3%,"6,511,712",, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
GA,,http://elections.sos.ga.gov/Elections/voterabsenteefile.do,"3,897,839","1,918,931","2,443,600","181,315","2,200,467","2,381,782",11/6,124.1%,, ,, ,, ,, , ,1425104,59.8%,661453,27.8%,35655,1.5%,51904,2.2%,207570,8.7%,"2,381,686","  1,343,299 ",56.4%,"  977,137 ",41.0%,"  61,346 ",2.6%,"2,381,782","  249,810 ",10.5%,"  465,932 ",19.6%,"  726,761 ",30.5%,"  879,770 ",36.9%,"  59,509 ",2.5%,"2,381,782",
HI,,http://khon2.com/2016/11/06/early-voter-numbers-in-hawaii-indicate-good-year-for-election-turnout/,"434,539","200,552","222,726","157,510","44,122","201,632",11/7,100.5%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
ID,,AP,"652,274","164,319","208,025","84,544","108,877","193,421",11/7,117.7%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
IL,,AP,"5,241,179","1,225,276","490,732","308,261","1,303,512","1,611,773",11/7,131.5%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
IN,,AP,"2,623,541","590,445","702,208","637,706",,"637,706",11/3,108.0%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
IA,,https://sos.iowa.gov/elections/pdf/2016/general/AbsenteeCongressional2016.pdf,"1,574,738","688,005","660,711","630,540",,"630,540",11/7,91.6%,"260,222",41.3%,"218,204",34.6%,"2,298",0.4%,"149,816",23.8%,"630,540",, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
KS,,https://twitter.com/KansasSOS/status/795668960654061569,"1,158,833","371,674","509,118","160,562","307,470","468,032",11/7,125.9%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
KY,,AP,"1,796,832","102,136","42,845","36,172","75,413","111,585",11/7,109.3%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
LA,,http://www.sos.la.gov/ElectionsAndVoting/Pages/EarlyVotingStatisticsStatewide.aspx,"1,994,065","357,938",,"62,573","468,551","531,124",11/8,148.4%,"236,568",44.5%,"205,093",38.6%,, ,"89,463",16.8%,"531,124",369574,69.6%,141582,26.7%,, ,19968,3.8%,, ,"531,124","  304,979 ",57.4%,"  226,071 ",42.6%,, ,"531,050",, ,, ,, ,, ,, , ,
ME,,http://www.maine.gov/sos/cec/elec/data/index.html,"711,053","188,782",,"245,112",,"245,112",11/7,129.8%,"99,308",40.5%,"66,281",27.0%,"8,314",3.4%,"71,209",29.1%,"245,112",, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
,CD 1,,,,,"149,152",,"149,152",11/7,,"62,804",42.1%,"37,294",25.0%,"4,767",3.2%,"44,287",29.7%,"149,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CD 2,,,,,"95,960",,"95,960",11/7,,"36,504",38.0%,"28,987",30.2%,"3,547",3.7%,"26,922",28.1%,"95,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,,http://www.elections.state.md.us/press_room/index.html,"2,697,018","580,586",,"115,191","859,928","975,119",11/4,168.0%,"625,062",64.1%,"219,291",22.5%,, ,"130,766",13.4%,"975,119",, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
MA,,http://www.bostonglobe.com/metro/2016/11/04/they-knew-what-they-wanted-million-people-may-have-already-voted-mass/XV6bwg9o0VHsZs1RJQnuzI/story.html,"3,161,215","266,324",,,"1,000,000","1,000,000",11/6,375.5%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
MI,,AP,"4,722,988","1,244,033","1,300,277","1,116,233",,"1,116,233",11/7,89.7%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,Sent ballots
MN,,http://www.twincities.com/2016/11/07/wowsa-a-record-busting-568196-ballots-already-accepted-in-minnesota/,"2,925,920","267,464","672,407","568,196",,"568,196",11/7,212.4%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
MS,,AP,"1,285,584","106,722","95,967","13,834",,"13,834",11/4,13.0%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
MO,,AP,"2,757,323","281,947","98,631","55,503",,"55,503",10/26,19.7%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
MT,,http://sos.mt.gov/elections/,"483,932","289,920","349,365","297,991",,"297,991",11/8,102.8%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
NE,,AP,"790,662","208,917","226,520","191,505",,"191,505",11/6,91.7%,"68,377",40.7%,"76,586",43.5%,872,0.6%,"24,788",15.3%,"170,623",, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
NV,,http://nvsos.gov/sos/elections/voters/election-turnout-statistics,"1,014,918","705,052",,"67,735","702,398","770,133",11/7,109.2%,"324,293",42.1%,"278,668",36.2%,,,"167,172",21.7%,"770,133",, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,Independent includes Minor Parties
NH,,,"708,399","68,032","34,699","25,809",,"25,809",11/4,37.9%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
NJ,,AP,"3,638,499","291,043","394,357","251,981",,"251,981",11/7,86.6%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
NM,,AP,"783,758","463,993","69,984","57,687","464,354","522,041",11/5,112.5%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
NY,,,"7,071,734","388,559","358,018","235,142",,"235,142",11/7,60.5%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
NC,,http://dl.ncsbe.gov/ (change to ENRS directory for early vote data),"4,493,301","2,774,599","3,164,033","155,374","2,947,460","3,102,834",11/8,111.8%,"1,301,574",41.7%,"996,272",31.9%,"9,926",0.3%,"815,434",26.1%,"3,123,206",2182198,69.9%,687226,22.0%,57889,1.9%,110504,3.5%,85389,2.7%,"3,123,206","  1,732,755 ",55.5%,"  1,323,869 ",42.4%,"  66,582 ",2.1%,"3,123,206","  416,960 ",13.4%,"  620,023 ",19.9%,"  904,742 ",29.0%,"  1,181,481 ",37.8%,, ,"3,123,206",
ND,,https://vip.sos.nd.gov/abev.aspx?eid=292,"321,072","135,195",,"82,289","49,500","131,789",11/8,97.5%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,Sent ballots
OH,,http://www.sos.state.oh.us/sos/mediaCenter/2016/2016-10-31.aspx,"5,580,715","1,862,963","1,972,025","1,122,894","661,490","1,784,384",11/7,95.8%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
OK,,AP,"1,334,872","176,163","128,917","94,831","152,639","247,470",11/7,140.5%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
OR,,http://sos.oregon.gov/voting/Documents/G16-Daily-Ballot-Returns.pdf,"1,775,995","1,775,995",,"1,291,268",,"1,291,268",11/7,72.7%,"470,676",44.7%,"343,808",32.6%,"68,483",6.5%,"171,089",16.2%,"1,054,056",, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
PA,,,"5,742,040","266,797",,,,0,,0.0%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
RI,,AP,"444,668","26,339","41,648","20,293",,"20,293",11/7,77.0%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
SC,,https://www.scvotes.org/fact-sheets,"1,964,118","392,761","513,380","490,144",,"490,144",11/8,124.8%,, ,, ,, ,, , ,"321,837",65.7%,"160,626",32.8%,"2,552",0.5%,"4,860",1.0%,269,0.1%,"490,144",, ,, ,, , ,, ,, ,, ,, ,, , ,
SD,,AP,"363,815","91,145","106,444","100,367",,"100,367",11/7,110.1%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
TN,,http://tnsos.org/elections/ElectionData/20161108EarlyVotersDisplay.php,"2,458,577","1,469,750",,,"1,675,679","1,675,679",11/4,114.0%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,Mail and in-person
TX,,http://www.sos.state.tx.us/elections/earlyvoting/index.shtml,"7,991,197","5,182,127",,"311,324","4,186,107","4,497,431",11/4,86.8%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
UT,,AP,"1,017,401","424,330",,"480,356",,"480,356",11/4,113.2%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
VT,,AP,"297,247","76,263","67,879","44,968",,"44,968",10/28,59.0%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
VA,,http://results.elections.virginia.gov/vaelections/2016%20November%20General/Site/Statistics/Absentee.html,"3,847,243","447,907","615,843","188,455","353,088","541,543",11/7,120.9%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
WA,,https://www.sos.wa.gov/elections/research/Ballot-Return-Statistics.aspx,"3,125,516","3,172,939",,"2,241,168",,"2,241,168",11/8,70.6%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
WV,,AP,"670,438","163,265","18,495","14,921","218,240","233,161",11/7,142.8%,"46,334",47.2%,"34,715",35.4%,403,0.4%,"16,720",17.0%,"98,172",, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
WI,,http://www.gab.wi.gov/elections-voting/statistics,"3,063,064","693,894","828,248","146,932","650,808","797,740",11/7,115.0%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,Sent ballots
WY,,AP,"247,026","67,205","80,986","22,182","52,569","74,751",11/7,111.2%,, ,, ,, ,, , ,, ,, ,, ,, ,, , ,, ,, ,, , ,, ,, ,, ,, ,, , ,
,,,"128,925,332","46,220,922","35,209,256","24,218,607","23,024,146","47,242,753",,102.2%,"9,764,201",42.0%,"8,032,097",34.5%,"306,319",1.3%,"5,166,101",22.2%,"23,268,718",4298713,65.9%,1650887,25.3%,96096,1.5%,187236,2.9%,293228,4.5%,"6,526,160","  3,381,033 ",56.0%,"  2,527,077 ",41.9%,"  127,928 ",2.1%,"6,036,038","  666,770 ",12.1%,"  1,085,955 ",19.7%,"  1,631,503 ",29.6%,"  2,061,251 ",37.4%,"  59,509 ",1.1%,"  5,504,988 ",
