state,race_id,fips,name,votes,absentee_votes,reporting,precincts,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results-trumpd,results-bidenj,results-jorgensenj,results-venturaj,results-pierceb,results-blankenshipd,results-de_la_fuenter,results-write-ins,results_absentee-trumpd,results_absentee-bidenj,results_absentee-jorgensenj,results_absentee-venturaj,results_absentee-pierceb,results_absentee-blankenshipd,results_absentee-de_la_fuenter,results_absentee-write-ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,UPDATE_NUMBER
AK,AK-G-P-2020-11-03,2901,ED 1,4251,955,5,9,56,7634,56%,56% reported,edison,2,unknown,None,4000,None,None,2322,1723,140,28.0,19.0,17.0,2.0,0.0,378,553,14,5.0,1.0,4.0,0.0,0.0,2020-11-04T10:43:52Z,14.0908,R+14,Trump +14,republican,14.0908,2
AK,AK-G-P-2020-11-03,2910,ED 10,4886,1369,5,11,47,10396,47%,47% reported,edison,2,unknown,None,4000,None,None,3835,863,139,31.0,10.0,7.0,1.0,0.0,1042,297,25,2.0,2.0,1.0,0.0,0.0,2020-11-04T10:44:01Z,60.82685,R+61,Trump +61,republican,60.82685,2
AK,AK-G-P-2020-11-03,2911,ED 11,5196,2441,4,9,47,11142,47%,47% reported,edison,2,unknown,None,4000,None,None,3740,1289,119,32.0,6.0,8.0,2.0,0.0,1576,806,45,11.0,0.0,3.0,0.0,0.0,2020-11-04T10:44:01Z,47.1709,R+47,Trump +47,republican,47.1709,2
AK,AK-G-P-2020-11-03,2912,ED 12,2309,1365,1,7,21,10974,21%,21% reported,edison,2,unknown,None,4000,None,None,1773,482,39,7.0,3.0,5.0,0.0,0.0,979,360,21,3.0,0.0,2.0,0.0,0.0,2020-11-04T10:44:02Z,55.91165,R+56,Trump +56,republican,55.91165,2
AK,AK-G-P-2020-11-03,2913,ED 13,3229,281,3,6,43,7513,43%,43% reported,edison,2,unknown,None,4000,None,None,2299,752,137,18.0,10.0,10.0,3.0,0.0,146,128,6,1.0,0.0,0.0,0.0,0.0,2020-11-04T10:44:03Z,47.90957,R+48,Trump +48,republican,47.90957,2
AK,AK-G-P-2020-11-03,2914,ED 14,4050,0,2,7,34,11983,34%,34% reported,edison,2,unknown,None,4000,None,None,2984,882,143,18.0,5.0,16.0,2.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020-11-04T10:44:04Z,51.90123,R+52,Trump +52,republican,51.90123,2
AK,AK-G-P-2020-11-03,2915,ED 15,2189,477,2,5,38,5729,38%,38% reported,edison,2,unknown,None,4000,None,None,1207,879,74,16.0,8.0,2.0,3.0,0.0,220,248,9,0.0,0.0,0.0,0.0,0.0,2020-11-04T10:44:05Z,14.98401,R+15,Trump +15,republican,14.98401,2
AK,AK-G-P-2020-11-03,2916,ED 16,3057,223,3,7,36,8551,36%,36% reported,edison,2,unknown,None,4000,None,None,1721,1196,96,25.0,7.0,9.0,3.0,0.0,51,166,5,0.0,0.0,1.0,0.0,0.0,2020-11-04T10:44:06Z,17.1737,R+17,Trump +17,republican,17.1737,2
AK,AK-G-P-2020-11-03,2917,ED 17,2497,755,2,7,32,7806,32%,32% reported,edison,2,unknown,None,4000,None,None,1197,1192,62,34.0,6.0,6.0,0.0,0.0,269,469,10,5.0,0.0,2.0,0.0,0.0,2020-11-04T10:43:23Z,0.20024,R+0.2,Trump +0.2,republican,0.20024,2
AK,AK-G-P-2020-11-03,2918,ED 18,2966,1225,3,10,35,8512,35%,35% reported,edison,2,unknown,None,4000,None,None,1293,1576,46,33.0,6.0,10.0,2.0,0.0,416,785,10,9.0,1.0,3.0,1.0,0.0,2020-11-04T10:43:23Z,9.54147,D+10,Biden +10,democrat,-9.54147,2
AK,AK-G-P-2020-11-03,2919,ED 19,2683,533,3,6,49,5511,49%,49% reported,edison,2,unknown,None,4000,None,None,1236,1332,61,25.0,2.0,16.0,11.0,0.0,151,369,7,2.0,0.0,2.0,2.0,0.0,2020-11-04T10:43:23Z,3.57808,D+4,Biden +4,democrat,-3.57808,2
AK,AK-G-P-2020-11-03,2902,ED 2,2344,631,1,4,37,6316,37%,37% reported,edison,2,unknown,None,4000,None,None,1424,782,96,20.0,8.0,9.0,5.0,0.0,321,291,13,3.0,1.0,2.0,0.0,0.0,2020-11-04T10:43:53Z,27.38908,R+27,Trump +27,republican,27.38908,2
AK,AK-G-P-2020-11-03,2920,ED 20,3050,1053,3,9,37,8211,37%,37% reported,edison,2,unknown,None,4000,None,None,1242,1697,78,20.0,8.0,5.0,0.0,0.0,308,726,14,4.0,0.0,1.0,0.0,0.0,2020-11-04T10:43:23Z,14.91803,D+15,Biden +15,democrat,-14.91803,2
AK,AK-G-P-2020-11-03,2921,ED 21,3364,482,3,8,34,9944,34%,34% reported,edison,2,unknown,None,4000,None,None,1657,1565,94,23.0,11.0,14.0,0.0,0.0,107,370,4,1.0,0.0,0.0,0.0,0.0,2020-11-04T10:43:25Z,2.73484,R+3,Trump +3,republican,2.73484,2
AK,AK-G-P-2020-11-03,2922,ED 22,5001,1061,4,7,52,9628,52%,52% reported,edison,2,unknown,None,4000,None,None,3079,1776,113,18.0,8.0,5.0,2.0,0.0,493,542,17,4.0,4.0,0.0,1.0,0.0,2020-11-04T10:43:27Z,26.05479,R+26,Trump +26,republican,26.05479,2
AK,AK-G-P-2020-11-03,2923,ED 23,4202,925,4,8,53,7963,53%,53% reported,edison,2,unknown,None,4000,None,None,2388,1661,98,23.0,10.0,13.0,9.0,0.0,401,506,12,2.0,0.0,2.0,2.0,0.0,2020-11-04T10:43:28Z,17.30129,R+17,Trump +17,republican,17.30129,2
AK,AK-G-P-2020-11-03,2924,ED 24,5442,1344,4,7,51,10684,51%,51% reported,edison,2,unknown,None,4000,None,None,3454,1831,118,20.0,10.0,6.0,3.0,0.0,627,693,20,2.0,1.0,1.0,0.0,0.0,2020-11-04T10:43:28Z,29.82359,R+30,Trump +30,republican,29.82359,2
AK,AK-G-P-2020-11-03,2925,ED 25,4866,1160,4,7,52,9346,52%,52% reported,edison,2,unknown,None,4000,None,None,2889,1812,108,38.0,8.0,8.0,3.0,0.0,487,650,18,4.0,0.0,0.0,1.0,0.0,2020-11-04T10:43:28Z,22.13317,R+22,Trump +22,republican,22.13317,2
AK,AK-G-P-2020-11-03,2926,ED 26,5188,1308,4,8,51,10241,51%,51% reported,edison,2,unknown,None,4000,None,None,3301,1724,113,26.0,15.0,8.0,1.0,0.0,685,605,14,3.0,1.0,0.0,0.0,0.0,2020-11-04T10:43:29Z,30.39707,R+30,Trump +30,republican,30.39707,2
