State,Ballots_Requested,Ballots_Returned,Democrat_Requested,Repub_Requested,Dem_Returned,Repub_returned
AZ,3448181,2471577,1206522,1238488,923805,914172
FL,6011508,4737540,2687604,1875245,2146654,1472826
GA,1782580,1320154,,,,
IA,1030359,996981,462222,341866,449290,331802
MI,3318609,2841696,,,,
MN,2055519,,,,,
NV,1768994,579553,667100,568785,279847,149868
NC,1456014,977186,669285,288383,438250,201169
OH,3211203,3000827,,,,
PA,3087524,2629672,1941131,784851,1702484,623404
TX,,973143,,,,
WI,1421908,1275019,,,,
