"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2020 General Election","01","ADAMS COUNTY","4962","4898","4454","1167"
"2020 General Election","02","ASHLAND COUNTY","3959","3945","3683","548"
"2020 General Election","03","BARRON COUNTY","11469","11421","10597","3563"
"2020 General Election","04","BAYFIELD COUNTY","5261","5212","4899","771"
"2020 General Election","05","BROWN COUNTY","103471","103217","98859","30207"
"2020 General Election","06","BUFFALO COUNTY","2527","2503","2276","542"
"2020 General Election","07","BURNETT COUNTY","3715","3664","3247","567"
"2020 General Election","08","CALUMET COUNTY","18315","18282","17419","4632"
"2020 General Election","09","CHIPPEWA COUNTY","17493","17420","16339","5203"
"2020 General Election","10","CLARK COUNTY","4333","4303","3702","558"
"2020 General Election","11","COLUMBIA COUNTY","18646","18602","17768","6055"
"2020 General Election","12","CRAWFORD COUNTY","3644","3605","3317","770"
"2020 General Election","13","DANE COUNTY","267142","266957","254335","61149"
"2020 General Election","14","DODGE COUNTY","23786","23753","22409","9218"
"2020 General Election","15","DOOR COUNTY","12125","12063","11481","3215"
"2020 General Election","16","DOUGLAS COUNTY","12153","12124","11282","2577"
"2020 General Election","17","DUNN COUNTY","9930","9891","9072","2271"
"2020 General Election","18","EAU CLAIRE COUNTY","35120","35061","33258","12959"
"2020 General Election","19","FLORENCE COUNTY","1222","1155","1078","136"
"2020 General Election","20","FOND DU LAC COUNTY","29866","29621","27771","9002"
"2020 General Election","21","FOREST COUNTY","1893","1882","1591","207"
"2020 General Election","22","GRANT COUNTY","11464","11379","10461","2638"
"2020 General Election","23","GREEN COUNTY","10824","10803","10228","3236"
"2020 General Election","24","GREEN LAKE COUNTY","4694","4635","4299","1572"
"2020 General Election","25","IOWA COUNTY","7785","7772","7343","2207"
"2020 General Election","26","IRON COUNTY","2040","2030","1848","238"
"2020 General Election","27","JACKSON COUNTY","3462","3459","3071","984"
"2020 General Election","28","JEFFERSON COUNTY","28041","27963","26489","10527"
"2020 General Election","29","JUNEAU COUNTY","5298","5248","4724","626"
"2020 General Election","30","KENOSHA COUNTY","61205","61131","58717","24929"
"2020 General Election","31","KEWAUNEE COUNTY","5182","5172","4727","0"
"2020 General Election","32","LA CROSSE COUNTY","44908","44869","43210","15020"
"2020 General Election","33","LAFAYETTE COUNTY","3088","3038","2774","552"
"2020 General Election","34","LANGLADE COUNTY","4265","4227","3756","908"
"2020 General Election","35","LINCOLN COUNTY","7142","7097","6384","1694"
"2020 General Election","36","MANITOWOC COUNTY","23948","23929","22777","8186"
"2020 General Election","37","MARATHON COUNTY","40657","40556","38049","11594"
"2020 General Election","38","MARINETTE COUNTY","11276","11242","10379","3556"
"2020 General Election","39","MARQUETTE COUNTY","3339","3242","2878","585"
"2020 General Election","40","MENOMINEE COUNTY","629","616","560","175"
"2020 General Election","41","MILWAUKEE COUNTY","346332","345871","325587","109002"
"2020 General Election","42","MONROE COUNTY","9594","9550","8699","3109"
"2020 General Election","43","OCONTO COUNTY","10615","10462","9612","2553"
"2020 General Election","44","ONEIDA COUNTY","12468","12397","11282","1965"
"2020 General Election","45","OUTAGAMIE COUNTY","70137","70056","67034","21507"
"2020 General Election","46","OZAUKEE COUNTY","44639","44600","43110","17786"
"2020 General Election","47","PEPIN COUNTY","1432","1389","1099","164"
"2020 General Election","48","PIERCE COUNTY","11026","10993","10336","2853"
"2020 General Election","49","POLK COUNTY","10831","10743","9953","2226"
"2020 General Election","50","PORTAGE COUNTY","24671","24641","23512","8316"
"2020 General Election","51","PRICE COUNTY","3339","3294","2846","538"
"2020 General Election","52","RACINE COUNTY","74417","74348","70189","32327"
"2020 General Election","53","RICHLAND COUNTY","3813","3618","3035","672"
"2020 General Election","54","ROCK COUNTY","53233","53160","50602","16592"
"2020 General Election","55","RUSK COUNTY","2414","2380","1968","317"
"2020 General Election","56","ST. CROIX COUNTY","32209","32163","30792","9633"
"2020 General Election","57","SAUK COUNTY","20727","20605","19437","6081"
"2020 General Election","58","SAWYER COUNTY","5497","5424","5111","1590"
"2020 General Election","59","SHAWANO COUNTY","9502","9471","8787","2787"
"2020 General Election","60","SHEBOYGAN COUNTY","38623","38545","36648","14470"
"2020 General Election","61","TAYLOR COUNTY","3597","3515","3118","701"
"2020 General Election","62","TREMPEALEAU COUNTY","5237","5163","4717","1189"
"2020 General Election","63","VERNON COUNTY","6478","6249","5228","1082"
"2020 General Election","64","VILAS COUNTY","8590","8516","8020","2135"
"2020 General Election","65","WALWORTH COUNTY","36028","35982","34298","14943"
"2020 General Election","66","WASHBURN COUNTY","4239","4167","3665","809"
"2020 General Election","67","WASHINGTON COUNTY","58859","58752","56682","26223"
"2020 General Election","68","WAUKESHA COUNTY","196209","195953","188110","76684"
"2020 General Election","69","WAUPACA COUNTY","13000","12986","11984","3746"
"2020 General Election","70","WAUSHARA COUNTY","4996","4952","4368","931"
"2020 General Election","71","WINNEBAGO COUNTY","59403","59334","56210","17013"
"2020 General Election","72","WOOD COUNTY","21261","21198","19964","6934"
"2020 General Election","99999","TOTAL","2073695","2068464","1957514","651422"
